project_name,wb_region,country_/_economy,country_/_economy_lending_group,country_/_economy_fcs_status,country_/_economy_fcs_lending_group,practice_group,global_practice,agreement_type,lending_instrument_type,approval_fy,final_closing_fy,evaluation_type,outcome,quality_at_entry,quality_of_supervision,bank_performance,m&e_quality,evaluation_fy
Third South West Indian Ocean Fisheries Governance and Shared Growth Project (SWIOFish3),Eastern and Southern Africa,Eastern and Southern Africa,Other,,Other,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IBRD,IPF,2018.0,2024.0,ICRR,Highly Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025
Regional and Local Roads Connectivity,Europe and Central Asia,Albania,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Transport,IBRD,IPF,2018.0,2024.0,ICRR,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2025
Burundi Landscape Restoration and Resilience Project,Eastern and Southern Africa,Burundi,IDA,FCS,IDA FCS,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IDA,IPF,2018.0,2025.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025
Transforming Secondary Education for Results Operation,South Asia,Bangladesh,IDA,non-FCS,IDA non-FCS,Human Development,Education,IDA,PforR,2018.0,2023.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2025
Digitizing Implementation Monitoring and Public Procurement Project,South Asia,Bangladesh,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions",Governance,IDA,IPF,2018.0,2024.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Substantial,2025
National Strategy for Development of Statistics Implementation Support,South Asia,Bangladesh,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions",Poverty and Equity,IDA,IPF,2018.0,2024.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2025
Sustainable Enterprise Project,South Asia,Bangladesh,IDA,non-FCS,IDA non-FCS,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IDA,IPF,2018.0,2024.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025
Health Sector Support Project,South Asia,Bangladesh,IDA,non-FCS,IDA non-FCS,Human Development,"Health, Nutrition & Population",IDA,IPF,2018.0,2024.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2025
Health Service Delivery Network Project,Latin America and Caribbean,Bolivia,IBRD,non-FCS,IBRD non-FCS,Human Development,"Health, Nutrition & Population",IBRD,IPF,2018.0,2024.0,ICRR,Unsatisfactory,Unsatisfactory,Moderately Unsatisfactory,Unsatisfactory,Modest,2025
China: Hubei Inland Waterway Improvement Project,East Asia and Pacific,China,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Transport,IBRD,IPF,2018.0,2024.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2025
Hunan Integrated Management of Agricultural Land Pollution Project,East Asia and Pacific,China,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,Agriculture and Food,IBRD,IPF,2018.0,2024.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025
China: Guangdong Compulsory Education Project,East Asia and Pacific,China,IBRD,non-FCS,IBRD non-FCS,Human Development,Education,IBRD,IPF,2018.0,2024.0,ICRR,Satisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Substantial,2025
Cote d'Ivoire Land Policy Improvement and Implementation Project,Western and Central Africa,Cote d'Ivoire,Blend,non-FCS,Blend non-FCS,Infrastructure,"Urban, Resilience and Land",IDA,IPF,2018.0,2024.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025
Multisectoral Nutrition and Child Development Project,Western and Central Africa,Cote d'Ivoire,Blend,non-FCS,Blend non-FCS,Human Development,"Health, Nutrition & Population",IDA,IPF,2018.0,2024.0,ICRR,Satisfactory,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2025
CI: Cote d'Ivoire E-Agriculture Project,Western and Central Africa,Cote d'Ivoire,Blend,non-FCS,Blend non-FCS,Digital,Digital Development,IDA,IPF,2018.0,2024.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Modest,2025
Cote d'Ivoire: Education Service Delivery Enhancement Project,Western and Central Africa,Cote d'Ivoire,Blend,non-FCS,Blend non-FCS,Human Development,Education,RETF,IPF,2018.0,2024.0,ICRR,Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2025
CAMEROON - Strengthening Public Sector Effectiveness and Statistical Capacity Project,Western and Central Africa,Cameroon,Blend,FCS,Blend FCS,"Equitable Growth, Finance and Institutions",Governance,IDA,IPF,2018.0,2024.0,ICRR,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2025
Commercial Agriculture Project,Western and Central Africa,"Congo, Republic of",Blend,FCS,Blend FCS,Sustainable Development,Agriculture and Food,IDA,IPF,2018.0,2024.0,ICRR,Satisfactory,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2025
STATE OWNED ENTERPRISES RELATED FISCAL MANAGEMENT PROJECT,Western and Central Africa,Cabo Verde,Blend,non-FCS,Blend non-FCS,"Equitable Growth, Finance and Institutions",Governance,IDA,IPF,2018.0,2024.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Modest,2025
Ethiopia Rural Productive Safety Net Project,Eastern and Southern Africa,Ethiopia,IDA,FCS,IDA FCS,Human Development,Social Protection & Jobs,IDA,IPF,2018.0,2022.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Modest,2025
Guinea Health Service and Capacity Strengthening Project,Western and Central Africa,Guinea,IDA,non-FCS,IDA non-FCS,Human Development,"Health, Nutrition & Population",IDA,IPF,2018.0,2024.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025
Investing in Nutrition and Early Years,East Asia and Pacific,Indonesia,IBRD,non-FCS,IBRD non-FCS,Human Development,"Health, Nutrition & Population",IBRD,PforR,2018.0,2024.0,ICRR,Satisfactory,Satisfactory,Highly Satisfactory,Satisfactory,Substantial,2025
Uttarakhand Workforce Development Project,South Asia,India,IBRD,non-FCS,IBRD non-FCS,Human Development,Education,IBRD,IPF,2018.0,2024.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,High,2025
Odisha Higher Education Program for Excellence and Equity,South Asia,India,IBRD,non-FCS,IBRD non-FCS,Human Development,Education,IBRD,PforR,2018.0,2024.0,ICRR,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2025
Meghalaya Community-led Landscapes Management Project,South Asia,India,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IBRD,IPF,2018.0,2024.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025
Madhya Pradesh Rural Connectivity project,South Asia,India,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Transport,IBRD,IPF,2018.0,2024.0,ICRR,Highly Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025
Uttar Pradesh Pro-Poor Tourism Development Project,South Asia,India,IBRD,non-FCS,IBRD non-FCS,Infrastructure,"Urban, Resilience and Land",IBRD,IPF,2018.0,2024.0,ICRR,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2025
Jordan First Equitable Growth & Job Creation Programmatic Development Policy Financing,"Middle East, North Africa, Afghanistan, and Pakist",Jordan,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2018.0,2020.0,ICRR,Moderately Unsatisfactory,,,Moderately Unsatisfactory,,2025
Program to Strengthen Governance for Enabling Service Delivery and Public Investment in Kenya (GESDeK),Eastern and Southern Africa,Kenya,Blend,non-FCS,Blend non-FCS,"Equitable Growth, Finance and Institutions",Governance,IDA,PforR,2018.0,2024.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025
Kenya Urban Support Program,Eastern and Southern Africa,Kenya,Blend,non-FCS,Blend non-FCS,Infrastructure,"Urban, Resilience and Land",IDA,PforR,2018.0,2024.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025
Greater Beirut Public Transport Project,"Middle East, North Africa, Afghanistan, and Pakist",Lebanon,IBRD,FCS,IBRD FCS,Infrastructure,Transport,IBRD,IPF,2018.0,2024.0,ICRR,Highly Unsatisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Negligible,2025
Getting to Best in Education,Western and Central Africa,Liberia,IDA,non-FCS,IDA non-FCS,Human Development,Education,RETF,IPF,2018.0,2023.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2025
Sri Lanka: Primary Health Care System Strengthening Project,South Asia,Sri Lanka,IDA,non-FCS,IDA non-FCS,Human Development,"Health, Nutrition & Population",IBRD,IPF,2018.0,2024.0,ICRR,Moderately Unsatisfactory,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2025
Lesotho Transport Infrastructure and Connectivity Project (LTIC),Eastern and Southern Africa,Lesotho,IDA,non-FCS,IDA non-FCS,Infrastructure,Transport,IDA,IPF,2018.0,2024.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2025
Mexico Dedicated Grant Mechanism for IP and LC,Latin America and Caribbean,Mexico,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,"Environment, Natural Resources & the Blue Economy",RETF,IPF,2018.0,2024.0,ICRR,Highly Satisfactory,Satisfactory,Satisfactory,Satisfactory,High,2025
Mali - Rural Mobility and Connectivity Project,Western and Central Africa,Mali,IDA,FCS,IDA FCS,Infrastructure,Transport,IDA,IPF,2018.0,2024.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025
Mali - Economic & Environmental Rehabilitation of the Niger River,Western and Central Africa,Mali,IDA,FCS,IDA FCS,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IDA,IPF,2018.0,2024.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2025
Mozambique Primary Health Care Strengthening Program,Eastern and Southern Africa,Mozambique,IDA,FCS,IDA FCS,Human Development,"Health, Nutrition & Population",IDA,PforR,2018.0,2024.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2025
Youth Employment and Productive Inclusion Project,Western and Central Africa,Niger,IDA,FCS,IDA FCS,Human Development,Social Protection & Jobs,IDA,IPF,2018.0,2023.0,ICRR,Highly Satisfactory,Satisfactory,Highly Satisfactory,Satisfactory,High,2025
"States Fiscal Transparency, Accountability and Sustainability PforR",Western and Central Africa,Nigeria,Blend,FCS,Blend FCS,"Equitable Growth, Finance and Institutions",Governance,IDA,PforR,2018.0,2024.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025
Nicaragua Property Rights Strengthening Project,Latin America and Caribbean,Nicaragua,IDA,non-FCS,IDA non-FCS,Infrastructure,"Urban, Resilience and Land",IDA,IPF,2018.0,2024.0,ICRR,Highly Satisfactory,Satisfactory,Satisfactory,Satisfactory,High,2025
Enhanced Vocational Education and Training Project II,South Asia,Nepal,IDA,non-FCS,IDA non-FCS,Human Development,Education,IDA,IPF,2018.0,2024.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,High,2025
Nepal Livestock Sector Innovation Project,South Asia,Nepal,IDA,non-FCS,IDA non-FCS,Sustainable Development,Agriculture and Food,IDA,IPF,2018.0,2024.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2025
Strengthening Markets for Agriculture and Rural Transformation Punjab Program,"Middle East, North Africa, Afghanistan, and Pakist",Pakistan,Blend,non-FCS,Blend non-FCS,Sustainable Development,Agriculture and Food,IBRD,PforR,2018.0,2024.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2025
PFM and accountability to support service delivery PforR,"Middle East, North Africa, Afghanistan, and Pakist",Pakistan,Blend,non-FCS,Blend non-FCS,"Equitable Growth, Finance and Institutions",Governance,IDA,PforR,2018.0,2024.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025
West Bank and Gaza Electricity Sector Performance Improvement Project,"Middle East, North Africa, Afghanistan, and Pakist",West Bank and Gaza,Other,FCS,Other,Infrastructure,Energy & Extractives,SPF,IPF,2018.0,2024.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025
GZ-Third Municipal Development Project,"Middle East, North Africa, Afghanistan, and Pakist",West Bank and Gaza,Other,FCS,Other,Infrastructure,"Urban, Resilience and Land",SPF,IPF,2018.0,2024.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,High,2025
Rwanda Priority Skills for Growth (PSG),Eastern and Southern Africa,Rwanda,IDA,non-FCS,IDA non-FCS,Human Development,Education,IDA,PforR,2018.0,2025.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025
Senegal Rural Water Supply and Sanitation Project,Western and Central Africa,Senegal,IDA,non-FCS,IDA non-FCS,Sustainable Development,Water,IDA,IPF,2018.0,2024.0,ICRR,Moderately Unsatisfactory,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2025
Enhancing Infrastructure Efficiency and Sustainability,Europe and Central Asia,Serbia,Other,non-FCS,Other,Infrastructure,Transport,IBRD,PforR,2018.0,2024.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Modest,2025
Climate Resilient Agriculture and Productivity Enhancement Project,Western and Central Africa,Chad,IDA,FCS,IDA FCS,Sustainable Development,Agriculture and Food,IDA,IPF,2018.0,2024.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025
Energy Sector Support and Investment Project,Western and Central Africa,Togo,IDA,non-FCS,IDA non-FCS,Infrastructure,Energy & Extractives,IDA,IPF,2018.0,2024.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025
Strengthening Critical Infrastructure against Natural Hazards,Europe and Central Asia,Tajikistan,IDA,non-FCS,IDA non-FCS,Infrastructure,"Urban, Resilience and Land",IDA,IPF,2018.0,2024.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025
Youth Economic Inclusion Project,"Middle East, North Africa, Afghanistan, and Pakist",Tunisia,IBRD,non-FCS,IBRD non-FCS,Human Development,Social Protection & Jobs,IBRD,IPF,2018.0,2024.0,ICRR,Highly Unsatisfactory,Unsatisfactory,Moderately Unsatisfactory,Unsatisfactory,Modest,2025
Uruguay - Improving Service Delivery to Citizens and Businesses through E-Government Project,Latin America and Caribbean,Uruguay,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions",Governance,IBRD,IPF,2018.0,2024.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025
Dynamic City Integrated Development Project - Thai Nguyen,East Asia and Pacific,Viet Nam,IBRD,non-FCS,IBRD non-FCS,Infrastructure,"Urban, Resilience and Land",IDA,IPF,2018.0,2024.0,ICRR,Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2025
Pacific Resilience Project II under the Pacific Resilience Program,East Asia and Pacific,Pacific Islands,Other,,Other,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IDA,IPF,2017.0,2024.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2025
Regional Disease Surveillance Systems Enhancement (REDISSE) Phase II,Western and Central Africa,Western and Central Africa,Other,,Other,Human Development,"Health, Nutrition & Population",IDA,IPF,2017.0,2024.0,ICRR,Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2025
Second South West Indian Ocean Fisheries Governance and Shared Growth Project - Madagascar,Eastern and Southern Africa,Southern Africa,Other,,Other,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IDA,IPF,2017.0,2024.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Modest,2025
Development Response to Displacement Impacts Project (DRDIP) in the Horn of Africa,Eastern and Southern Africa,Eastern and Southern Africa,Other,,Other,Sustainable Development,Social Sustainability and Inclusion,IDA,IPF,2017.0,2024.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Modest,2025
PUBLIC ENTERPRISES,Eastern and Southern Africa,Uganda,IDA,,Other,Other,Other,IDA,IPF,1989.0,,PPAR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,1999
Integrated Habitat and Housing Project,Latin America and Caribbean,Argentina,IBRD,non-FCS,IBRD non-FCS,Infrastructure,"Urban, Resilience and Land",IBRD,IPF,2017.0,2025.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Modest,2025
Health System Support Project (KIRA),Eastern and Southern Africa,Burundi,IDA,FCS,IDA FCS,Human Development,"Health, Nutrition & Population",IDA,IPF,2017.0,2023.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025
Energy Service Improvement Project,Western and Central Africa,Benin,IDA,non-FCS,IDA non-FCS,Infrastructure,Energy & Extractives,IDA,IPF,2017.0,2024.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025
BF-Transport Sector Modernization and Corridor Trade Facilitation  Project,Western and Central Africa,Burkina Faso,IDA,FCS,IDA FCS,Infrastructure,Transport,IDA,IPF,2017.0,2023.0,ICRR,Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Modest,2025
Service Delivery and Support to Communities Affected by Displacement Project,Western and Central Africa,Central African Republic,IDA,FCS,IDA FCS,Human Development,Social Protection & Jobs,IDA,IPF,2017.0,2024.0,ICRR,Satisfactory,Moderately Satisfactory,Highly Satisfactory,Satisfactory,Substantial,2025
China: Gansu Technical and Vocational Education and Training Project,East Asia and Pacific,China,IBRD,non-FCS,IBRD non-FCS,Human Development,Education,IBRD,IPF,2017.0,2023.0,ICRR,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,High,2025
