project_name,wb_region,country_/_economy,country_/_economy_lending_group,country_/_economy_fcs_status,country_/_economy_fcs_lending_group,practice_group,global_practice,agreement_type,lending_instrument_type,approval_fy,final_closing_fy,evaluation_type,outcome,quality_at_entry,quality_of_supervision,bank_performance,m&e_quality,evaluation_fy,CountryCode,GDP_USD,GDP_per_capita_USD,GDP_growth_pct,Inflation_CPI_pct,Unemployment_pct,Govt_debt_pct_GDP,Current_account_pct_GDP,Population_total
Cote d'Ivoire Higher Education Development Support Project,Western and Central Africa,Cote d'Ivoire,Blend,non-FCS,Blend non-FCS,Human Development,Education,IDA,IPF,2019,2024.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Satisfactory,Moderately Unsatisfactory,Modest,2025,CIV,60382894697.3557,2141.76836170115,6.72137167584978,-1.10686343994195,2.401,,-2.23379059024848,28193009.0
DRC- SME Development and Growth Project,Eastern and Southern Africa,"Congo, Democratic Republic of",IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,2019,2024.0,ICRR,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,Substantial,2025,,,,,,,,,
Integrated Development and Competitiveness Project,Eastern and Southern Africa,Comoros,IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,2019,2025.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Modest,2025,COM,1195019531.03664,1519.26386326167,3.62877024437186,,3.934,,-3.33166140567138,786578.0
Cabo Verde Education and Skills Development Enhancement Project,Western and Central Africa,Cabo Verde,Blend,non-FCS,Blend non-FCS,Human Development,Education,IDA,IPF,2019,2023.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025,CPV,2252177124.32402,4380.78117331128,6.94782634051859,1.10666674296062,12.128,,-0.968698566651977,514104.0
Integrated Cash Transfer and Human Capital Project,"Middle East, North Africa, Afghanistan, and Pakist",Djibouti,IDA,non-FCS,IDA non-FCS,Human Development,Social Protection & Jobs,IDA,IPF,2019,2024.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025,DJI,3088851450.30694,2837.16902340932,5.54508081154978,3.31925372703827,26.256,,18.2584391861665,1088709.0
Towards Zero Stunting and Responding to COVID-19 and Other Emergencies,"Middle East, North Africa, Afghanistan, and Pakist",Djibouti,IDA,non-FCS,IDA non-FCS,Human Development,"Health, Nutrition & Population",IDA,IPF,2019,2024.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2025,DJI,3088851450.30694,2837.16902340932,5.54508081154978,3.31925372703827,26.256,,18.2584391861665,1088709.0
Ethiopia Growth and Competitiveness,Eastern and Southern Africa,Ethiopia,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2019,2020.0,ICRR,Moderately Unsatisfactory,Not Evaluated,Not Evaluated,Moderately Satisfactory,Not Evaluated,2025,ETH,95912620248.0592,828.709080522921,8.36408573314054,15.8096321719344,2.917,31.4488445669584,-5.23928316213876,115737383.0
Ethiopia Resilient Landscapes and Livelihoods Project,Eastern and Southern Africa,Ethiopia,IDA,FCS,IDA FCS,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IDA,IPF,2019,2025.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025,ETH,95912620248.0592,828.709080522921,8.36408573314054,15.8096321719344,2.917,31.4488445669584,-5.23928316213876,115737383.0
Ghana Energy Sector Transformation Initiative Project,Western and Central Africa,Ghana,IDA,non-FCS,IDA non-FCS,Infrastructure,Energy & Extractives,IDA,IPF,2019,2024.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Modest,2025,GHA,68352629246.1555,2186.65822682613,6.5077747939152,7.14364003330856,3.16,,-2.72699375813964,31258945.0
Rural Mobility and Connectivity Project,Western and Central Africa,Guinea,IDA,non-FCS,IDA non-FCS,Infrastructure,Transport,IDA,IPF,2019,2024.0,ICRR,Unsatisfactory,Moderately Unsatisfactory,Unsatisfactory,Unsatisfactory,Modest,2025,GIN,13442861496.4454,1031.34146480732,5.61691446889876,9.4700103925301,5.018,,-2.34042432173531,13034346.0
The Gambia Social Safety Net Project,Western and Central Africa,"Gambia, The",IDA,non-FCS,IDA non-FCS,Human Development,Social Protection & Jobs,IDA,IPF,2019,2024.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025,GMB,1813609692.49994,738.186751987483,6.22205315994859,7.11567625631189,4.538,,-2.04445221575257,2456844.0
Uttar Pradesh Core Road Network Development Project,South Asia,India,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Transport,IBRD,IPF,2019,2024.0,ICRR,Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Negligible,2025,IND,2835606256558.19,2041.42863698585,3.87143694070356,3.72950573539127,6.51,,-1.04961203910072,1389030312.0
Tamil Nadu Health System Reform Program,South Asia,India,IBRD,non-FCS,IBRD non-FCS,Human Development,"Health, Nutrition & Population",IBRD,PforR,2019,2024.0,ICRR,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,High,2025,IND,2835606256558.19,2041.42863698585,3.87143694070356,3.72950573539127,6.51,,-1.04961203910072,1389030312.0
Jordan Second Equitable Growth & Job Creation Programmatic Development Policy Financing,"Middle East, North Africa, Afghanistan, and Pakist",Jordan,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2019,2022.0,ICRR,Moderately Unsatisfactory,Not Evaluated,Not Evaluated,Moderately Unsatisfactory,Not Evaluated,2025,JOR,44503006338.0282,4170.1144003465,1.75124077866225,0.76151404726555,16.801,79.3448532492717,-1.73661317294453,10671891.0
Madagascar Integrated Growth Poles and Corridor SOP-2,Eastern and Southern Africa,Madagascar,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,2019,2024.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025,MDG,14104664678.5063,499.818837622534,4.41123212909589,5.61051441492363,2.469,,-2.13564971662682,28219554.0
Mali - Accelerating Progress Towards Universal Health Coverage,Western and Central Africa,Mali,IDA,FCS,IDA FCS,Human Development,"Health, Nutrition & Population",IDA,IPF,2019,2024.0,ICRR,Highly Satisfactory,Satisfactory,Highly Satisfactory,Satisfactory,Substantial,2025,MLI,20477421884.5414,971.949318638092,4.99999911699705,-1.65826694846365,3.29,,-6.29353963446871,21068405.0
Mozambique Disaster Risk Management and Resilience Program,Eastern and Southern Africa,Mozambique,IDA,FCS,IDA FCS,Infrastructure,"Urban, Resilience and Land",IDA,PforR,2019,2024.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2025,MOZ,15512759046.672,519.09255091362,2.31781394821475,2.80270307928108,3.646,78.8783415047574,-16.0764477598265,29884380.0
Mozambique: Financial Inclusion and Stability Project,Eastern and Southern Africa,Mozambique,IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,2019,2024.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025,MOZ,15512759046.672,519.09255091362,2.31781394821475,2.80270307928108,3.646,78.8783415047574,-16.0764477598265,29884380.0
Mozambique Land Administration Project (Terra Segura),Eastern and Southern Africa,Mozambique,IDA,FCS,IDA FCS,Infrastructure,"Urban, Resilience and Land",IDA,IPF,2019,2024.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025,MOZ,15512759046.672,519.09255091362,2.31781394821475,2.80270307928108,3.646,78.8783415047574,-16.0764477598265,29884380.0
Mozambique Energy For All (ProEnergia),Eastern and Southern Africa,Mozambique,IDA,FCS,IDA FCS,Infrastructure,Energy & Extractives,IDA,IPF,2019,2024.0,ICRR,Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2025,MOZ,15512759046.672,519.09255091362,2.31781394821475,2.80270307928108,3.646,78.8783415047574,-16.0764477598265,29884380.0
Second Bridges Improvement and Maintenance Program,South Asia,Nepal,IDA,non-FCS,IDA non-FCS,Infrastructure,Transport,IDA,PforR,2019,2025.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2025,NPL,34186180699.0255,1203.14294706401,6.65705543110468,5.56868547784929,10.389,31.7771473472895,-5.12963069016168,28414064.0
Peru Integrated Health Networks,Latin America and Caribbean,Peru,IBRD,non-FCS,IBRD non-FCS,Human Development,"Health, Nutrition & Population",IBRD,IPF,2019,2024.0,ICRR,Unsatisfactory,Unsatisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Negligible,2025,PER,228346006003.648,7037.00803692604,2.24063176875049,2.25212191358024,3.379,26.5266050304096,-0.726098966731841,32449303.0
Sustainable Agricultural Intensification and Food Security Project,Eastern and Southern Africa,Rwanda,IDA,non-FCS,IDA non-FCS,Sustainable Development,Agriculture and Food,RETF,IPF,2019,2025.0,ICRR,Highly Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025,RWA,10349300276.7623,810.051412137354,9.44738518613097,3.34787655037643,11.236,,-11.8932238048424,12776103.0
Sierra Leone Agro-Processing Competitiveness Project,Western and Central Africa,Sierra Leone,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,2019,2024.0,ICRR,Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Modest,2025,SLE,6526183564.19893,844.049555179116,5.50270937378153,14.8049990906021,3.203,,-7.78489806831996,7731991.0
Sierra Leone Skills Development Project,Western and Central Africa,Sierra Leone,IDA,non-FCS,IDA non-FCS,Human Development,Education,IDA,IPF,2019,2024.0,ICRR,Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2025,SLE,6526183564.19893,844.049555179116,5.50270937378153,14.8049990906021,3.203,,-7.78489806831996,7731991.0
Somali Electricity Access Project,Eastern and Southern Africa,Somalia,IDA,FCS,IDA FCS,Infrastructure,Energy & Extractives,RETF,IPF,2019,2023.0,ICRR,Highly Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025,,,,,,,,,
Emergency Income Support and Training Project,Latin America and Caribbean,St Maarten,Other,non-FCS,Other,Human Development,Social Protection & Jobs,RETF,IPF,2019,2024.0,ICRR,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2025,,,,,,,,,
Togo - Infrastructure and Urban Development Project,Western and Central Africa,Togo,IDA,non-FCS,IDA non-FCS,Infrastructure,"Urban, Resilience and Land",IDA,IPF,2019,2024.0,ICRR,Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2025,TGO,6992700101.37188,826.260654099894,4.92292591685973,0.674652770077458,2.036,,-0.792877888994647,8463068.0
First Fiscal Reform and Resilience Development Policy Credit,Latin America and Caribbean,St. Vincent and the Grenadines,Blend,non-FCS,Blend non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2019,2020.0,ICRR,Satisfactory,Not Evaluated,Not Evaluated,Highly Satisfactory,Not Evaluated,2025,VCT,910481481.481481,8740.59425232061,0.668428481084234,0.91306972532454,19.235,,-2.38815343936867,104167.0
Vietnam HCFC Phaseout Project Stage II,East Asia and Pacific,Viet Nam,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,"Environment, Natural Resources & the Blue Economy",MONT,IPF,2019,2024.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2025,VNM,334365270496.667,3440.90025375434,7.35926270105006,2.79582367452249,1.681,,3.91824395534243,97173776.0
Kosovo Financial Sector Strengthening Project,Europe and Central Asia,Kosovo,IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,2019,2024.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025,XKX,7899737577.47286,4415.99716107514,4.75680057007834,2.67599202639889,,,-5.66136623459618,1788891.0
Third South West Indian Ocean Fisheries Governance and Shared Growth Project (SWIOFish3),Eastern and Southern Africa,Eastern and Southern Africa,Other,non-FCS,Other,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IBRD,IPF,2018,2024.0,ICRR,Highly Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025,,,,,,,,,
Regional and Local Roads Connectivity,Europe and Central Asia,Albania,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Transport,IBRD,IPF,2018,2024.0,ICRR,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2025,ALB,15379508329.7568,5365.48880180298,3.67141928098908,2.02805963071135,12.304,63.6337689521087,-6.60766481105068,2866376.0
Burundi Landscape Restoration and Resilience Project,Eastern and Southern Africa,Burundi,IDA,FCS,IDA FCS,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IDA,IPF,2018,2025.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025,BDI,2667182199.51333,224.89939239264,1.60993542127714,-2.81469807668464,1.146,,-14.5912293655985,11859446.0
Transforming Secondary Education for Results Operation,South Asia,Bangladesh,IDA,non-FCS,IDA non-FCS,Human Development,Education,IDA,PforR,2018,2023.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2025,BGD,321362752441.78,1965.24372731467,7.31941263014136,5.54362139486472,4.407,,-2.20783912081882,163523103.0
Digitizing Implementation Monitoring and Public Procurement Project,South Asia,Bangladesh,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions",Governance,IDA,IPF,2018,2024.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Substantial,2025,BGD,321362752441.78,1965.24372731467,7.31941263014136,5.54362139486472,4.407,,-2.20783912081882,163523103.0
National Strategy for Development of Statistics Implementation Support,South Asia,Bangladesh,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions",Poverty and Equity,IDA,IPF,2018,2024.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2025,BGD,321362752441.78,1965.24372731467,7.31941263014136,5.54362139486472,4.407,,-2.20783912081882,163523103.0
Sustainable Enterprise Project,South Asia,Bangladesh,IDA,non-FCS,IDA non-FCS,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IDA,IPF,2018,2024.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025,BGD,321362752441.78,1965.24372731467,7.31941263014136,5.54362139486472,4.407,,-2.20783912081882,163523103.0
Health Sector Support Project,South Asia,Bangladesh,IDA,non-FCS,IDA non-FCS,Human Development,"Health, Nutrition & Population",IDA,IPF,2018,2024.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2025,BGD,321362752441.78,1965.24372731467,7.31941263014136,5.54362139486472,4.407,,-2.20783912081882,163523103.0
Health Service Delivery Network Project,Latin America and Caribbean,Bolivia,IBRD,non-FCS,IBRD non-FCS,Human Development,"Health, Nutrition & Population",IBRD,IPF,2018,2024.0,ICRR,Unsatisfactory,Unsatisfactory,Moderately Unsatisfactory,Unsatisfactory,Modest,2025,BOL,40287647930.5355,3500.72642189887,4.22362365271844,2.27205987230154,3.519,,-4.28165522078624,11508368.0
China: Hubei Inland Waterway Improvement Project,East Asia and Pacific,China,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Transport,IBRD,IPF,2018,2024.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2025,CHN,14147765772963.8,10085.6638148819,6.75671800166833,2.07479039965575,4.31,,0.170563391928727,1402760000.0
Hunan Integrated Management of Agricultural Land Pollution Project,East Asia and Pacific,China,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,Agriculture and Food,IBRD,IPF,2018,2024.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025,CHN,14147765772963.8,10085.6638148819,6.75671800166833,2.07479039965575,4.31,,0.170563391928727,1402760000.0
China: Guangdong Compulsory Education Project,East Asia and Pacific,China,IBRD,non-FCS,IBRD non-FCS,Human Development,Education,IBRD,IPF,2018,2024.0,ICRR,Satisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Substantial,2025,CHN,14147765772963.8,10085.6638148819,6.75671800166833,2.07479039965575,4.31,,0.170563391928727,1402760000.0
Cote d'Ivoire Land Policy Improvement and Implementation Project,Western and Central Africa,Cote d'Ivoire,Blend,non-FCS,Blend non-FCS,Infrastructure,"Urban, Resilience and Land",IDA,IPF,2018,2024.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2025,CIV,58522477786.6889,2130.86619381144,4.84314605889178,0.3594090313807,2.85,,-3.90363086723186,27464173.0
Multisectoral Nutrition and Child Development Project,Western and Central Africa,Cote d'Ivoire,Blend,non-FCS,Blend non-FCS,Human Development,"Health, Nutrition & Population",IDA,IPF,2018,2024.0,ICRR,Satisfactory,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2025,CIV,58522477786.6889,2130.86619381144,4.84314605889178,0.3594090313807,2.85,,-3.90363086723186,27464173.0
CI: Cote d'Ivoire E-Agriculture Project,Western and Central Africa,Cote d'Ivoire,Blend,non-FCS,Blend non-FCS,Digital,Digital Development,IDA,IPF,2018,2024.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Modest,2025,CIV,58522477786.6889,2130.86619381144,4.84314605889178,0.3594090313807,2.85,,-3.90363086723186,27464173.0
Cote d'Ivoire: Education Service Delivery Enhancement Project,Western and Central Africa,Cote d'Ivoire,Blend,non-FCS,Blend non-FCS,Human Development,Education,RETF,IPF,2018,2024.0,ICRR,Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2025,CIV,58522477786.6889,2130.86619381144,4.84314605889178,0.3594090313807,2.85,,-3.90363086723186,27464173.0
CAMEROON - Strengthening Public Sector Effectiveness and Statistical Capacity Project,Western and Central Africa,Cameroon,Blend,FCS,Blend FCS,"Equitable Growth, Finance and Institutions",Governance,IDA,IPF,2018,2024.0,ICRR,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2025,CMR,39955552189.795,1610.69641591017,3.95551423892049,1.0688581131292,3.601,,-3.52725517847682,24806383.0
Commercial Agriculture Project,Western and Central Africa,"Congo, Republic of",Blend,FCS,Blend FCS,Sustainable Development,Agriculture and Food,IDA,IPF,2018,2024.0,ICRR,Satisfactory,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2025,,,,,,,,,
STATE OWNED ENTERPRISES RELATED FISCAL MANAGEMENT PROJECT,Western and Central Africa,Cabo Verde,Blend,non-FCS,Blend non-FCS,"Equitable Growth, Finance and Institutions",Governance,IDA,IPF,2018,2024.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Modest,2025,CPV,2205099506.99994,4294.96510035729,3.70696458310842,1.25699566690508,12.17,,-4.40170436068748,513415.0
